Title	TitleShort	ISSN	EISSN	Parent	Format	Field	Locale
Journal of Medical Case Reports			1752-1947	springer-basic-brackets	numeric		en-US
Genes & Genomics	Genes Genom	1976-9571	2092-9293	springer-basic-author-date	author-date	science	en-US
CEAS Aeronautical Journal	CEAS Aeronaut J	1869-5582	1869-5590	springer-mathphys-brackets	numeric	science	en-US
Tumor Biology	Tumor Biol.	1010-4283	1423-0380	springer-vancouver-brackets	numeric	medicine	en-US
Social Network Analysis and Mining	Soc. Netw. Anal. Min.	1869-5450	1869-5469	springer-basic-author-date	author-date	science	en-US
AMBIO	AMBIO	0044-7447	1654-7209	springer-humanities-author-date	author-date	humanities	en-US
Stem Cell Research & Therapy			1757-6512	springer-vancouver-brackets	numeric		en-US
Jahresbericht der Deutschen Mathematiker-Vereinigung	Jahresber. Dtsch. Math. Ver.	0012-0456	1869-7135	springer-mathphys-brackets	numeric	science	en-US
Biology of Sex Differences			2042-6410	springer-basic-brackets	numeric		en-US
e-Neuroforum			1868-856X	springer-basic-brackets	numeric		en-US
Diabetes Therapy	Diabetes Ther	1869-6953	1869-6961	springer-vancouver-brackets	numeric	medicine	en-US
Updates in Surgery	Updates Surg	2038-131X	2038-3312	springer-basic-brackets	numeric	science	en-US
Australasian Plant Pathology	Australasian Plant Pathol.	0815-3191	1448-6032	springer-basic-author-date	author-date	science	en-US
Australasian Plant Disease Notes	Australasian Plant Dis. Notes		1833-928X	springer-basic-author-date	author-date	science	en-US
Autoimmunity Highlights	Autoimmun Highlights	2038-0305	2038-3274	springer-basic-brackets	numeric	science	en-US
European Journal of Drug Metabolism and Pharmacokinetics	Eur J Drug Metab Pharmacokinet	0378-7966	2107-0180	springer-basic-author-date	author-date	science	en-US
3D Research			2092-6731	springer-socpsych-brackets	numeric		en-US
Journal of Cheminformatics			1758-2946	springer-basic-brackets	numeric		en-US
Journal of Systems Chemistry			1759-2208	springer-basic-brackets	numeric		en-US
Investigative Genetics			2041-2223	springer-basic-brackets	numeric		en-US
Analysis and Mathematical Physics	Anal.Math.Phys.	1664-2368	1664-235X	springer-mathphys-brackets	numeric	science	en-US
Journal of Biomedical Semantics			2041-1480	springer-vancouver-brackets	numeric		en-US
Journal of Clinical Bioinformatics			2043-9113	springer-basic-brackets	numeric		en-US
VirusDisease		2347-3584	2347-3517	springer-vancouver-brackets	numeric		en-US
Diabetology International	Diabetol Int	2190-1678	2190-1686	springer-vancouver-brackets	numeric	medicine	en-US
Drug Delivery and Translational Research	Drug Deliv. and Transl. Res.	2190-393X	2190-3948	springer-vancouver-brackets	numeric	medicine	en-US
Philosophy & Technology	Philos. Technol.	2210-5433	2210-5441	springer-socpsych-author-date	author-date	psychology	en-US
Collectanea Mathematica	Collect. Math.	0010-0757	2038-4815	springer-mathphys-brackets	numeric	science	en-US
Journal of Civil Structural Health Monitoring	J Civil Struct Health Monit	2190-5452	2190-5479	springer-basic-brackets	numeric	science	en-US
Journal of Applied Genetics	J Appl Genetics	1234-1983	2190-3883	springer-basic-author-date	author-date	science	en-US
Applied Entomology and Zoology	Appl Entomol Zool	0003-6862	1347-605X	springer-basic-author-date	author-date	science	en-US
Swiss Journal of Palaeontology	Swiss J Palaeontol	1664-2376	1664-2384	springer-socpsych-author-date	author-date	psychology	en-US
Journal of The American Society for Mass Spectrometry		1044-0305	1879-1123	springer-mathphys-brackets	numeric		en-US
Journal of Mathematics in Industry			2190-5983	springer-basic-author-date	author-date		en-US
Mammal Research		2199-2401	2199-241X	springer-basic-author-date	author-date		en-US
Journal of NeuroVirology	J. Neurovirol.	1355-0284	1538-2443	springer-basic-author-date	author-date	science	en-US
Beiträge zur Algebra und Geometrie / Contributions to Algebra and Geometry	Beitr Algebra Geom	0138-4821	2191-0383	springer-mathphys-author-date	author-date	science	en-US
Arabian Journal for Science and Engineering	Arab J Sci Eng	1319-8025	2191-4281	springer-mathphys-brackets	numeric	science	en-US
Afrika Matematika	Afr. Mat. 	1012-9405	2190-7668	springer-mathphys-brackets	numeric	science	en-US
Bulletin of Mathematical Sciences	Bull. Math. Sci.	1664-3607	1664-3615	springer-mathphys-brackets	numeric	science	en-US
The Australian Educational Researcher	Aust. Educ. Res.	0311-6999	2210-5328	springer-socpsych-author-date	author-date	psychology	en-US
European Actuarial Journal	Eur. Actuar. J. 	2190-9733	2190-9741	springer-basic-brackets	numeric	science	en-US
Security Informatics			2190-8532	springer-basic-brackets	numeric		en-US
Journal of Cryptographic Engineering	J Cryptogr Eng 	2190-8508	2190-8516	springer-mathphys-brackets	numeric	science	en-US
Mathematics Education Research Journal	Math Ed Res J	1033-2170	2211-050X	springer-socpsych-author-date	author-date	psychology	en-US
Skeletal Muscle			2044-5040	springer-basic-brackets	numeric		en-US
Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie A. Matematicas	RACSAM	1578-7303	1579-1505	springer-mathphys-brackets	numeric	science	en-US
Biomass Conversion and Biorefinery	Biomass Conv. Bioref.	2190-6815	2190-6823	springer-basic-brackets	numeric	science	en-US
Cellular Oncology	Cell Oncol.	2211-3428	2211-3436	springer-physics-brackets	numeric	physics	en-US
Gold Bulletin	Gold Bull		2190-7579	springer-basic-brackets	numeric	science	en-US
The Journal of Mathematical Neuroscience (JMN)			2190-8567	springer-basic-brackets	numeric		en-US
International Journal of Diabetes in Developing Countries	Int J Diabetes Dev Ctries	0973-3930	1998-3832	springer-vancouver-brackets	numeric	medicine	en-US
Flavour			2044-7248	springer-basic-brackets	numeric		en-US
Journal of Environmental Studies and Sciences	J Environ Stud Sci	2190-6483	2190-6491	springer-basic-author-date	author-date	science	en-US
WMU Journal of Maritime Affairs	WMU J Marit Affairs	1651-436X	1654-1642	springer-basic-author-date	author-date	science	en-US
Asian Journal of Business Ethics	Asian J Bus Ethics	2210-6723	2210-6731	springer-socpsych-author-date	author-date	psychology	en-US
Demography	Demography	0070-3370	1533-7790	springer-socpsych-author-date	author-date	psychology	en-US
Planetary Science			2191-2521	springer-basic-brackets	numeric		en-US
Brazilian Journal of Physics	Braz J Phys	0103-9733	1678-4448	springer-physics-brackets	numeric	physics	en-US
Journal of Cachexia, Sarcopenia and Muscle	J Cachexia Sarcopenia Muscle	2190-5991	2190-6009	springer-vancouver-brackets	numeric	medicine	en-US
EJNMMI Research			2191-219X	springer-basic-brackets	numeric		en-US
Biologics in Therapy	Biol Ther	2195-5840	2190-9164	springer-vancouver-brackets	numeric	medicine	en-US
Dermatology and Therapy	Dermatol Ther (Heidelb)	2193-8210	2190-9172	springer-vancouver-brackets	numeric	medicine	en-US
Health Economics Review			2191-1991	springer-basic-brackets	numeric		en-US
Journal of Plant Biochemistry and Biotechnology	J. Plant Biochem. Biotechnol.	0971-7811	0974-1275	springer-basic-author-date	author-date	science	en-US
Mineral Economics	Miner Econ	2191-2203	2191-2211	springer-basic-author-date	author-date	science	en-US
Journal of Radiation Oncology	J Radiat Oncol	1948-7894	1948-7908	springer-basic-brackets	numeric	science	en-US
Veterinary Research			1297-9716	springer-basic-brackets	numeric		en-US
AMB Express			2191-0855	springer-basic-author-date	author-date		en-US
Clinical Sarcoma Research			2045-3329	springer-basic-brackets	numeric		en-US
Pastoralism			2041-7136	springer-humanities-author-date	author-date		en-US
Human Cell	Human Cell		1749-0774	springer-vancouver-brackets	numeric	medicine	en-US
Cell & Bioscience			2045-3701	springer-vancouver-brackets	numeric		en-US
Israel Journal of Health Policy Research			2045-4015	springer-vancouver-brackets	numeric		en-US
Biology of Mood & Anxiety Disorders			2045-5380	springer-basic-brackets	numeric		en-US
Organic and Medicinal Chemistry Letters			2191-2858	springer-basic-author-date	author-date		en-US
Agronomy for Sustainable Development	Agron. Sustain. Dev.	1774-0746	1773-0155	springer-basic-author-date	author-date	science	en-US
Dairy Science & Technology	Dairy Sci. & Technol.	1958-5586	1958-5594	springer-basic-author-date	author-date	science	en-US
Annals of Forest Science	Annals of Forest Science	1286-4560	1297-966X	springer-basic-author-date	author-date	science	en-US
Oriental Pharmacy and Experimental Medicine	Orient Pharm Exp Med	1598-2386	2211-1069	springer-basic-author-date	author-date	science	en-US
Clinical and Translational Allergy			2045-7022	springer-basic-brackets	numeric		en-US
Psychology of Well-Being			2211-1522	springer-socpsych-author-date	author-date		en-US
Annals of Intensive Care			2110-5820	springer-basic-brackets	numeric		en-US
Multilingual Education			2191-5059	springer-humanities-author-date	author-date		en-US
Journal of Applied Volcanology			2191-5040	springer-basic-author-date	author-date		en-US
Medical Gas Research			2045-9912	springer-basic-brackets	numeric		en-US
Cell Regeneration			2045-9769	springer-basic-brackets	numeric		en-US
Irish Veterinary Journal			2046-0481	springer-basic-brackets	numeric		en-US
BMC Biophysics			2046-1682	springer-basic-brackets	numeric		en-US
Cilia			2046-2530	springer-basic-brackets	numeric		en-US
La Rivista Italiana della Medicina di Laboratorio - Italian Journal of Laboratory Medicine (Italian)		1825-859X	2039-6821	springer-basic-brackets	numeric		it-IT
Metallography, Microstructure, and Analysis	Metallogr. Microstruct. Anal.	2192-9262	2192-9270	springer-physics-brackets	numeric	physics	en-US
International Journal of Pediatric Endocrinology			1687-9856	springer-vancouver-brackets	numeric		en-US
EURASIP Journal on Advances in Signal Processing			1687-6180	springer-physics-brackets	numeric		en-US
EURASIP Journal on Information Security			1687-417X	springer-socpsych-brackets	numeric		en-US
EURASIP Journal on Audio, Speech, and Music Processing			1687-4722	springer-socpsych-brackets	numeric		en-US
EURASIP Journal on Bioinformatics and Systems Biology			1687-4153	springer-socpsych-brackets	numeric		en-US
EURASIP Journal on Wireless Communications and Networking			1687-1499	springer-physics-brackets	numeric		en-US
EURASIP Journal on Embedded Systems			1687-3963	springer-socpsych-brackets	numeric		en-US
EURASIP Journal on Image and Video Processing			1687-5281	springer-physics-brackets	numeric		en-US
Systematic Reviews			2046-4053	springer-vancouver-brackets	numeric		en-US
Review of Religious Research	Rev Relig Res	0034-673X	2211-4866	springer-humanities-author-date	author-date	humanities	en-US
Natural Products and Bioprospecting		2192-2195	2192-2209	springer-physics-brackets	numeric		en-US
Journal of Inequalities and Applications			1029-242X	springer-mathphys-brackets	numeric		en-US
Boundary Value Problems			1687-2770	springer-mathphys-brackets	numeric		en-US
Advances in Difference Equations			1687-1847	springer-mathphys-brackets	numeric		en-US
Fixed Point Theory and Applications			1687-1812	springer-mathphys-brackets	numeric		en-US
Current Pulmonology Reports	Curr Respir Care Rep		2161-332X	springer-vancouver-brackets	numeric	medicine	en-US
Current Nutrition Reports	Curr Nutr Rep		2161-3311	springer-vancouver-brackets	numeric	medicine	en-US
Current Obstetrics and Gynecology Reports	Curr Obstet Gynecol Rep		2161-3303	springer-vancouver-brackets	numeric	medicine	en-US
Current Geriatrics Reports			2196-7865	springer-vancouver-brackets	numeric		en-US
Current Dermatology Reports	Curr Derm Rep		2162-4933	springer-vancouver-brackets	numeric	medicine	en-US
Human-centric Computing and Information Sciences			2192-1962	springer-basic-brackets	numeric		en-US
EURO Journal on Computational Optimization	EURO J Comput Optim	2192-4406	2192-4414	springer-basic-author-date	author-date	science	en-US
EURO Journal on Transportation and Logistics	EURO J Transp Logist	2192-4376	2192-4384	springer-basic-author-date	author-date	science	en-US
Journal of Cloud Computing			2192-113X	springer-basic-brackets	numeric		en-US
mUX: The Journal of Mobile User Experience			2196-873X	springer-basic-brackets	numeric		en-US
Current Obesity Reports	Curr Obes Rep		2162-4968	springer-vancouver-brackets	numeric	medicine	en-US
EPJ Data Science			2193-1127	springer-basic-brackets	numeric		en-US
Optical Nanoscopy			2192-2853	springer-basic-author-date	author-date		en-US
Archives of Public Health			2049-3258	springer-basic-brackets	numeric		en-US
International Cancer Conference Journal	Int Canc Conf J		2192-3183	springer-basic-brackets	numeric	science	en-US
Energy, Sustainability and Society			2192-0567	springer-basic-brackets	numeric		en-US
Ecological Processes			2192-1709	springer-basic-author-date	author-date		en-US
Network Modeling Analysis in Health Informatics and Bioinformatics	Netw Model Anal Health Inform Bioinforma	2192-6662	2192-6670	springer-basic-author-date	author-date	science	en-US
Addiction Science & Clinical Practice			1940-0640	springer-basic-brackets	numeric		en-US
Iranian Polymer Journal	Iran Polym J	1026-1265	1735-5265	springer-basic-brackets	numeric	science	en-US
Extreme Physiology & Medicine			2046-7648	springer-basic-brackets	numeric		en-US
CEN Case Reports	CEN Case Rep		2192-4449	springer-vancouver-brackets	numeric	medicine	en-US
Journal of Innovation and Entrepreneurship			2192-5372	springer-socpsych-author-date	author-date		en-US
International Journal of Multimedia Information Retrieval	Int J Multimed Info Retr	2192-6611	2192-662X	springer-basic-brackets	numeric	science	en-US
Transplantation Research			2047-1440	springer-basic-brackets	numeric		en-US
Journal of the Iranian Chemical Society	J IRAN CHEM SOC	1735-207X	1735-2428	springer-physics-brackets	numeric	physics	en-US
Journal on Data Semantics	J Data Semant	1861-2032	1861-2040	springer-basic-brackets	numeric	science	en-US
Perioperative Medicine			2047-0525	springer-basic-author-date	author-date		en-US
GigaScience			2047-217X	springer-basic-brackets	numeric		en-US
Neotropical Entomology	Neotrop Entomol	1519-566X	1678-8052	springer-basic-author-date	author-date	science	en-US
Progress in Artificial Intelligence	Prog Artif Intell	2192-6352	2192-6360	springer-mathphys-brackets	numeric	science	en-US
Environmental Evidence			2047-2382	springer-basic-brackets	numeric		en-US
Biological Theory	Biol Theory	1555-5542	1555-5550	springer-basic-author-date	author-date	science	en-US
International Journal of Disaster Risk Science		2095-0055	2192-6395	springer-humanities-author-date	author-date		en-US
Health Information Science and Systems			2047-2501	springer-basic-brackets	numeric		en-US
Antimicrobial Resistance and Infection Control			2047-2994	springer-basic-brackets	numeric		en-US
Acta Neurologica Belgica	Acta Neurol Belg	0300-9009	2240-2993	springer-basic-brackets	numeric	science	en-US
International Journal of Environmental Science and Technology	Int. J. Environ. Sci. Technol.	1735-1472	1735-2630	springer-basic-author-date	author-date	science	en-US
Journal of the Korean Society for Applied Biological Chemistry		1738-2203	2234-344X	springer-basic-author-date	author-date		en-US
Infection	Infection	0300-8126	1439-0973	springer-vancouver-brackets	numeric	medicine	en-US
HeilberufeScience (German)	HBScience		2190-2100	springer-vancouver-brackets	numeric	medicine	de-DE
Zeitschrift für Bildungsforschung (German)	Z f Bildungsforsch	2190-6890	2190-6904	springer-socpsych-author-date	author-date	psychology	de-DE
European Journal of Medical Research			2047-783X	springer-basic-brackets	numeric		en-US
Agricultural Research	Agric Res	2249-720X	2249-7218	springer-basic-brackets	numeric	science	en-US
Journal of Pharmaceutical Investigation	Journal of Pharmaceutical Investigation	2093-5552	2093-6214	springer-basic-author-date	author-date	science	en-US
Journal of Economic Structures			2193-2409	springer-basic-author-date	author-date		en-US
National Academy Science Letters	Natl. Acad. Sci. Lett.	0250-541X	2250-1754	springer-basic-brackets	numeric	science	en-US
Proceedings of the National Academy of Sciences, India Section A: Physical Sciences	Proc. Natl. Acad. Sci., India, Sect. A Phys. Sci.	0369-8203	2250-1762	springer-basic-brackets	numeric	science	en-US
Proceedings of the National Academy of Sciences, India Section B: Biological Sciences	Proc. Natl. Acad. Sci., India, Sect. B Biol. Sci.	0369-8211	2250-1746	springer-basic-brackets	numeric	science	en-US
CSI Transactions on ICT	CSIT	2277-9078	2277-9086	springer-basic-brackets	numeric	science	en-US
Journal of The Institution of Engineers (India): Series A	J. Inst. Eng. India Ser. A	2250-2149	2250-2157	springer-physics-brackets	numeric	physics	en-US
Journal of The Institution of Engineers (India): Series B	J. Inst. Eng. India Ser. B	2250-2106	2250-2114	springer-physics-brackets	numeric	physics	en-US
Journal of The Institution of Engineers (India): Series C	J. Inst. Eng. India Ser. C	2250-0545	2250-0553	springer-physics-brackets	numeric	physics	en-US
Journal of The Institution of Engineers (India): Series D	J. Inst. Eng. India Ser. D	2250-2122	2250-2130	springer-physics-brackets	numeric	physics	en-US
Journal of The Institution of Engineers (India): Series E	J. Inst. Eng. India Ser. E	2250-2483	2250-2491	springer-physics-brackets	numeric	physics	en-US
Translational Neurodegeneration			2047-9158	springer-basic-brackets	numeric		en-US
Perspectives on Medical Education	Perspect Med Educ	2212-2761	2212-277X	springer-vancouver-brackets	numeric	medicine	en-US
Fire Science Reviews			2193-0414	springer-basic-author-date	author-date		en-US
Journal of Homotopy and Related Structures	J. Homotopy Relat. Struct.	2193-8407	1512-2891	springer-mathphys-brackets	numeric	science	en-US
SpringerPlus			2193-1801	springer-basic-author-date	author-date		en-US
Arabian Journal of Mathematics	Arab J Math	2193-5343	2193-5351	springer-mathphys-brackets	numeric	science	en-US
Agriculture & Food Security			2048-7010	springer-basic-brackets	numeric		en-US
Environmental Systems Research			2193-2697	springer-basic-author-date	author-date		en-US
International Journal of Concrete Structures and Materials		1976-0485	2234-1315	springer-socpsych-author-date	author-date		en-US
EURO Journal on Decision Processes	EURO J Decis Process	2193-9438	2193-9446	springer-basic-author-date	author-date	science	en-US
International Aquatic Research		2008-4935	2008-6970	springer-basic-author-date	author-date		en-US
Stochastic Partial Differential Equations: Analysis and Computations	Stoch PDE: Anal Comp	2194-0401	2194-041X	springer-mathphys-brackets	numeric	science	en-US
International Nano Letters		2008-9295	2228-5326	springer-mathphys-brackets	numeric		en-US
International Journal of Industrial Chemistry		2228-5970	2228-5547	springer-basic-brackets	numeric		en-US
International Journal of Advanced Structural Engineering (IJASE)		2008-3556	2008-6695	springer-basic-author-date	author-date		en-US
Journal of Industrial Engineering International		1735-5702	2251-712X	springer-basic-author-date	author-date		en-US
International Journal of Recycling of Organic Waste in Agriculture		2195-3228	2251-7715	springer-basic-author-date	author-date		en-US
Journal of Theoretical and Applied Physics		1735-9325	2251-7235	springer-mathphys-brackets	numeric		en-US
International Journal of Energy and Environmental Engineering		2008-9163	2251-6832	springer-mathphys-brackets	numeric		en-US
Mathematical Sciences		2008-1359	2251-7456	springer-mathphys-brackets	numeric		en-US
Journal of Nanostructure in Chemistry		2008-9244	2193-8865	springer-mathphys-brackets	numeric		en-US
Indian Geotechnical Journal	Indian Geotech J	0971-9555	2277-3347	springer-basic-brackets	numeric	science	en-US
Agricultural and Food Economics			2193-7532	springer-basic-author-date	author-date		en-US
Journal of Physiological Anthropology			1880-6805	springer-basic-brackets	numeric		en-US
Journal of Animal Science and Biotechnology			2049-1891	springer-vancouver-brackets	numeric		en-US
Cardiology and Therapy	Cardiol Ther	2193-8261	2193-6544	springer-vancouver-brackets	numeric	medicine	en-US
Neurology and Therapy	Neurol Ther	2193-8253	2193-6536	springer-vancouver-brackets	numeric	medicine	en-US
Infectious Diseases and Therapy	Infect Dis Ther	2193-8229	2193-6382	springer-vancouver-brackets	numeric	medicine	en-US
Pain and Therapy	Pain Ther	2193-8237	2193-651X	springer-vancouver-brackets	numeric	medicine	en-US
Ophthalmology and Therapy	Ophthalmol Ther	2193-8245	2193-6528	springer-vancouver-brackets	numeric	medicine	en-US
Current Pediatrics Reports	Curr Pediatr Rep		2167-4841	springer-vancouver-brackets	numeric	medicine	en-US
Current Radiology Reports	Curr Radiol Rep		2167-4825	springer-vancouver-brackets	numeric	medicine	en-US
Current Ophthalmology Reports	Curr Ophthalmol Rep		2167-4868	springer-vancouver-brackets	numeric	medicine	en-US
Current Otorhinolaryngology Reports	Curr Otorhinolaryngol Rep		2167-583X	springer-vancouver-brackets	numeric	medicine	en-US
Current Surgery Reports	Curr Surg Rep		2167-4817	springer-vancouver-brackets	numeric	medicine	en-US
Current Emergency and Hospital Medicine Reports	Curr Emerg Hosp Med Rep		2167-4884	springer-vancouver-brackets	numeric	medicine	en-US
Current Pathobiology Reports	Curr Pathobiol Rep		2167-485X	springer-basic-brackets	numeric	science	en-US
Current Anesthesiology Reports	Curr Anesthesiol Rep		2167-6275	springer-vancouver-brackets	numeric	medicine	en-US
Current Physical Medicine and Rehabilitation Reports	Curr Phys Med Rehabil Rep		2167-4833	springer-vancouver-brackets	numeric	medicine	en-US
Current Genetic Medicine Reports	Curr Genet Med Rep		2167-4876	springer-vancouver-brackets	numeric	medicine	en-US
Maritime Studies			2212-9790	springer-humanities-author-date	author-date		en-US
Crime Science			2193-7680	springer-socpsych-author-date	author-date		en-US
Experimental Hematology & Oncology			2162-3619	springer-vancouver-brackets	numeric		en-US
Decision Analytics			2193-8636	springer-socpsych-author-date	author-date		en-US
Journal of Interaction Science			2194-0827	springer-socpsych-brackets	numeric		en-US
Culture and Brain	Cult. Brain	2193-8652	2193-8660	springer-socpsych-author-date	author-date	psychology	en-US
Microbiome			2049-2618	springer-basic-brackets	numeric		en-US
Clinical and Translational Medicine			2001-1326	springer-basic-brackets	numeric		en-US
Cancer & Metabolism			2049-3002	springer-basic-brackets	numeric		en-US
Global Journal of Flexible Systems Management	Glob J Flex Syst Manag	0972-2696	0974-0198	springer-socpsych-author-date	author-date	psychology	en-US
IZA Journal of Labor Economics			2193-8997	springer-basic-author-date	author-date		en-US
IZA Journal of Labor Policy			2193-9004	springer-basic-author-date	author-date		en-US
IZA Journal of European Labor Studies			2193-9012	springer-basic-author-date	author-date		en-US
IZA Journal of Labor & Development			2193-9020	springer-basic-author-date	author-date		en-US
IZA Journal of Migration			2193-9039	springer-basic-author-date	author-date		en-US
Integrating Materials and Manufacturing Innovation		2193-9764	2193-9772	springer-basic-brackets	numeric		en-US
Welding in the World	Weld World	0043-2288	1878-6669	springer-basic-brackets	numeric	science	en-US
Acta Metallurgica Sinica (English Letters)		1006-7191	2194-1289	springer-physics-brackets	numeric		en-US
Global Business Perspectives	J of International Network of Bus and Manag	2194-0061	2194-007X	springer-socpsych-author-date	author-date	psychology	en-US
DARU Journal of Pharmaceutical Sciences			2008-2231	springer-basic-brackets	numeric		en-US
Journal of Diabetes & Metabolic Disorders			2251-6581	springer-basic-brackets	numeric		en-US
Journal of Environmental Health Science and Engineering			2052-336X	springer-basic-brackets	numeric		en-US
In Silico Pharmacology			2193-9616	springer-basic-author-date	author-date		en-US
Progress in Biomaterials		2194-0509	2194-0517	springer-basic-author-date	author-date		en-US
neuropsychiatrie (German)	Neuropsychiatr	0948-6259	2194-1327	springer-vancouver-brackets	numeric	medicine	de-DE
Materials for Renewable and Sustainable Energy	Mater Renew Sustain Energy	2194-1459	2194-1467	springer-mathphys-brackets	numeric	science	en-US
Journal of Computational Surgery			2194-3990	springer-basic-brackets	numeric		en-US
Human Genomics			1479-7364	springer-basic-brackets	numeric		en-US
Translational Respiratory Medicine			2213-0802	springer-basic-brackets	numeric		en-US
Multidisciplinary Respiratory Medicine			2049-6958	springer-vancouver-brackets	numeric		en-US
Infectious Diseases of Poverty			2049-9957	springer-basic-brackets	numeric		en-US
American Journal of Cardiovascular Drugs	Am J Cardiovasc Drugs	1175-3277	1179-187X	springer-vancouver-brackets	numeric	medicine	en-US
American Journal of Clinical Dermatology	Am J Clin Dermatol	1175-0561	1179-1888	springer-vancouver-brackets	numeric	medicine	en-US
Applied Health Economics and Health Policy	Appl Health Econ Health Policy	1175-5652	1179-1896	springer-vancouver-brackets	numeric	medicine	en-US
BioDrugs	BioDrugs	1173-8804	1179-190X	springer-vancouver-brackets	numeric	medicine	en-US
Clinical Drug Investigation	Clin Drug Investig	1173-2563	1179-1918	springer-vancouver-brackets	numeric	medicine	en-US
Clinical Pharmacokinetics	Clin Pharmacokinet	0312-5963	1179-1926	springer-vancouver-brackets	numeric	medicine	en-US
CNS Drugs	CNS Drugs	1172-7047	1179-1934	springer-vancouver-brackets	numeric	medicine	en-US
Drug Safety	Drug Saf	0114-5916	1179-1942	springer-vancouver-brackets	numeric	medicine	en-US
Drugs	Drugs	0012-6667	1179-1950	springer-vancouver-brackets	numeric	medicine	en-US
Drugs & Aging	Drugs Aging	1170-229X	1179-1969	springer-vancouver-brackets	numeric	medicine	en-US
Drugs & Therapy Perspectives	Drugs Ther Perspect	1172-0360	1179-1977	springer-vancouver-brackets	numeric	medicine	en-US
Drugs in R&D	Drugs R D	1174-5886	1179-6901	springer-vancouver-brackets	numeric	medicine	en-US
The Patient - Patient-Centered Outcomes Research	Patient	1178-1653	1178-1661	springer-vancouver-brackets	numeric	medicine	en-US
Pediatric Drugs	Pediatr Drugs	1174-5878	1179-2019	springer-vancouver-brackets	numeric	medicine	en-US
PharmacoEconomics	PharmacoEconomics	1170-7690	1179-2027	springer-vancouver-brackets	numeric	medicine	en-US
PharmacoEconomics Italian Research Articles	Pharmacoecon. Ital. Res. Artic.	1590-9158	2035-6137	springer-vancouver-brackets	numeric	medicine	en-US
PharmacoEconomics Spanish Research Articles (Spanish)	Pharmacoecon. Span. Res. Artic.	1695-405X	1989-5453	springer-vancouver-brackets	numeric	medicine	es-ES
Sports Medicine	Sports Med	0112-1642	1179-2035	springer-vancouver-brackets	numeric	medicine	en-US
Pharmaceutical Medicine	Pharm Med	1178-2595	1179-1993	springer-vancouver-brackets	numeric	medicine	en-US
Molecular Diagnosis & Therapy	Mol Diagn Ther	1177-1062	1179-2000	springer-vancouver-brackets	numeric	medicine	en-US
High Blood Pressure & Cardiovascular Prevention	High Blood Press. Cardiovasc. Prev.	1120-9879	1179-1985	springer-vancouver-brackets	numeric	medicine	en-US
Complex Adaptive Systems Modeling			2194-3206	springer-basic-author-date	author-date		en-US
The Journal of the Astronautical Sciences		0021-9142	2195-0571	springer-mathphys-brackets	numeric		en-US
The Asia-Pacific Education Researcher		0119-5646	2243-7908	springer-socpsych-author-date	author-date		en-US
Journal of Molecular Psychiatry			2049-9256	springer-basic-brackets	numeric		en-US
Communications in Mathematics and Statistics		2194-6701	2194-671X	springer-mathphys-brackets	numeric		en-US
Journal of the Operations Research Society of China		2194-668X	2194-6698	springer-mathphys-brackets	numeric		en-US
Acta Mathematica Vietnamica		0251-4184	2315-4144	springer-mathphys-brackets	numeric		en-US
European Journal of Futures Research	Eur J Futures Res	2195-4194	2195-2248	springer-basic-brackets	numeric	science	en-US
Journal of Control, Automation and Electrical Systems		2195-3880	2195-3899	springer-socpsych-author-date	author-date		en-US
Computational and Applied Mathematics	Comp. Appl. Math.	0101-8205	1807-0302	springer-basic-author-date	author-date	science	en-US
Computational Methods and Function Theory	Comput. Methods Funct. Theory	1617-9447	2195-3724	springer-mathphys-brackets	numeric	science	en-US
Annales mathématiques du Québec		2195-4755	2195-4763	springer-mathphys-brackets	numeric		en-US
Animal Biotelemetry			2050-3385	springer-basic-brackets	numeric		en-US
The International Sports Law Journal		1567-7559	2213-5154	springer-basic-author-date	author-date		en-US
Earth Perspectives			2194-6434	springer-basic-author-date	author-date		en-US
Advanced Modeling and Simulation in Engineering Sciences			2213-7467	springer-basic-brackets	numeric		en-US
Visualization in Engineering			2213-7459	springer-socpsych-author-date	author-date		en-US
Acta Geodaetica et Geophysica	Acta Geod Geophys	2213-5812	2213-5820	springer-basic-author-date	author-date	science	en-US
Lettera Matematica		2281-6917	2281-5937	springer-mathphys-brackets	numeric		en-US
Clinical and Translational Imaging		2281-5872	2281-7565	springer-basic-brackets	numeric		en-US
Journal of Eating Disorders			2050-2974	springer-basic-brackets	numeric		en-US
Regenerative Medicine Research			2050-490X	springer-basic-brackets	numeric		en-US
International Journal of Bipolar Disorders			2194-7511	springer-vancouver-author-date	author-date		en-US
Molecular and Cellular Pediatrics			2194-7791	springer-basic-brackets	numeric		en-US
Journal of Therapeutic Ultrasound			2050-5736	springer-vancouver-brackets	numeric		en-US
Health & Justice			2194-7899	springer-socpsych-author-date	author-date		en-US
BMC Psychology			2050-7283	springer-basic-brackets	numeric		en-US
BMC Pharmacology and Toxicology			2050-6511	springer-vancouver-brackets	numeric		en-US
Springer Science Reviews	Springer Science Reviews	2213-7793	2213-7793	springer-basic-brackets	numeric	science	en-US
Biomarker Research			2050-7771	springer-basic-brackets	numeric		en-US
EPJ Nonlinear Biomedical Physics			2195-0008	springer-basic-brackets	numeric		en-US
