Title	TitleShort	ISSN	EISSN	Parent	Format	Field	Locale
European Archives of Oto-Rhino-Laryngology	Eur Arch Otorhinolaryngol	0937-4477	1434-4726	springer-basic-brackets	numeric	science	en-US
European Archives of Psychiatry and Clinical Neuroscience	Eur Arch Psychiatry Clin Neurosci	0940-1334	1433-8491	springer-basic-brackets	numeric	science	en-US
Archive for History of Exact Sciences	Arch. Hist. Exact Sci.	0003-9519	1432-0657	springer-humanities-author-date	author-date	humanities	en-US
Lung	Lung	0341-2040	1432-1750	springer-basic-brackets	numeric	science	en-US
Contributions to Mineralogy and Petrology	Contrib Mineral Petrol	0010-7999	1432-0967	springer-basic-author-date	author-date	science	en-US
Radiation and Environmental Biophysics	Radiat Environ Biophys	0301-634X	1432-2099	springer-basic-author-date	author-date	science	en-US
Chromosoma	Chromosoma	0009-5915	1432-0886	springer-basic-author-date	author-date	science	en-US
International Journal of Legal Medicine	Int J Legal Med	0937-9827	1437-1596	springer-basic-brackets	numeric	science	en-US
Journal of Neurology	J Neurol	0340-5354	1432-1459	springer-basic-brackets	numeric	science	en-US
Graefe's Archive for Clinical and Experimental Ophthalmology	Graefes Arch Clin Exp Ophthalmol	0721-832X	1435-702X	springer-basic-brackets	numeric	science	en-US
Histochemistry and Cell Biology	Histochem Cell Biol	0948-6143	1432-119X	springer-basic-author-date	author-date	science	en-US
Archive of Applied Mechanics	Arch Appl Mech 	0939-1533	1432-0681	springer-mathphys-brackets	numeric	science	en-US
International Archives of Occupational and Environmental Health	Int Arch Occup Environ Health	0340-0131	1432-1246	springer-basic-author-date	author-date	science	en-US
European Journal of Applied Physiology	Eur J Appl Physiol	1439-6319	1439-6327	springer-basic-author-date	author-date	science	en-US
Biological Cybernetics	Biol Cybern	0340-1200	1432-0770	springer-basic-author-date	author-date	science	en-US
Langenbeck's Archives of Surgery	Langenbecks Arch Surg	1435-2443	1435-2451	springer-basic-brackets	numeric	science	en-US
Pflügers Archiv - European Journal of Physiology	Pflugers Arch - Eur J Physiol	0031-6768	1432-2013	springer-basic-brackets	numeric	science	en-US
Planta	Planta	0032-0935	1432-2048	springer-basic-author-date	author-date	science	en-US
Psychological Research	Psychological Research	0340-0727	1430-2772	springer-socpsych-author-date	author-date	psychology	en-US
Development Genes and Evolution	Dev Genes Evol	0949-944X	1432-041X	springer-basic-author-date	author-date	science	en-US
Virchows Archiv	Virchows Arch	0945-6317	1432-2307	springer-basic-brackets	numeric	science	en-US
Brain Structure and Function	Brain Struct Funct	1863-2653	1863-2661	springer-basic-author-date	author-date	science	en-US
Medical Microbiology and Immunology	Med Microbiol Immunol	0300-8584	1432-1831	springer-basic-brackets	numeric	science	en-US
European Journal of Pediatrics	Eur J Pediatr	0340-6199	1432-1076	springer-basic-brackets	numeric	science	en-US
Journal of Cancer Research and Clinical Oncology	J Cancer Res Clin Oncol	0171-5216	1432-1335	springer-basic-author-date	author-date	science	en-US
Zoomorphology	Zoomorphology	0720-213X	1432-234X	springer-basic-author-date	author-date	science	en-US
