Title	ISSN	EISSN	category-field	parent	documentation
Journal of Peace social_science	1740-0201	1740-021X	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJPE20&page=instructions
Journal of Reproductive and Infant Psychology	0264-6838	1469-672X	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CJRI20&page=instructions
Archives and Records	2325-7962	2325-7989	political_science	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=CJSA20&page=instructions
Journal of Urban Design	1357-4809	1469-9664	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJUD20&page=instructions
Journal of Wine Research	0957-1264	1469-9672	biology	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CJWR20&page=instructions
Journal of Youth Studies	1367-6261	1469-9680	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJYS20&page=instructions
Labor History	0023-656X	1469-9702	humanities	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=CLAH20&page=instructions
Landscape Research	0142-6397	1469-9710	political_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CLAR20&page=instructions
Local Environment	1354-9839	1469-6711	biology	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CLOE20&page=instructions
Mentoring & Tutoring: Partnership in Learning	1361-1267	1469-9745	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CMET20&page=instructions
Mental Health, Religion & Culture	1367-4676	1469-9737	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CMHR20&page=instructions
Modern Italy	1353-2944	1469-9877	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CMIT20&page=instructions
Journal of Modern Jewish Studies	1472-5886	1472-5894	humanities	chicago-note-bibliography	http://www.tandfonline.com/action/authorSubmission?journalCode=CMJS20&page=instructions
Mortality	1357-6275	1469-9885	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CMRT20&page=instructions
Music social_science Research	1461-3808	1469-9893	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CMUE20&page=instructions
Nationalities Papers	0090-5992	1465-3923	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CNAP20&page=instructions
New Genetics and Society	1463-6778	1469-9915	science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CNGS20&page=instructions
National Identities	1460-8944	1469-9907	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CNID20&page=instructions
Open Learning: The Journal of Open, Distance and e-Learning	0268-0513	1469-9958	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=COPL20&page=instructions
Oxford Review of social_science	0305-4985	1465-3915	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CORE20&page=instructions
Physical social_science and Sport Pedagogy	1740-8989	1742-5786	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CPES20&page=instructions
Psychology, Health & Medicine	1354-8506	1465-3966	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CPHM20&page=instructions
Philosophical Psychology	0951-5089	1465-394X	humanities	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CPHP20&page=instructions
Policy Studies	0144-2872	1470-1006	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CPOS20&page=instructions
Practice	0950-3153	1742-4909	medicine	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CPRA20&page=instructions
Politikon	0258-9346	1470-1014	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CPSA20&page=instructions
Research in Drama social_science: The Journal of Applied Theatre and Performance	1356-9783	1470-112X	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CRDE20&page=instructions
Review of African Political Economy	0305-6244	1740-1720	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CREA20&page=instructions
Race Ethnicity and social_science	1361-3324	1470-109X	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CREE20&page=instructions
Reflective Practice	1462-3943	1470-1103	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CREP20&page=instructions
