publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
Military Psychology	0899-5605	1532-7876	2013-01	25	1				http://content.apa.org/journals/mil		mil				Educational Publishing Foundation
Neuropsychology	0894-4105	1931-1559	1987-05	1	1	1987-11	1	2	http://content.apa.org/journals/neu		neu				Philadelphia Clinical Neuropsychology Group
Neuropsychology	0894-4105	1931-1559	1988	2	1	1990-10	4	4	http://content.apa.org/journals/neu		neu				Taylor & Francis
Neuropsychology	0894-4105	1931-1559	1991-01	5	1	1992-10	6	4	http://content.apa.org/journals/neu		neu				Educational Publishing Foundation
Neuropsychology	0894-4105	1931-1559	1993-01	7	1				http://content.apa.org/journals/neu		neu				American Psychological Association
Nordic Psychology	1901-2276	1904-0016	2006-04	58	1	2011-12	63	4	http://content.apa.org/journals/nop		nop				Dansk psykologisk Forlag
Peace and Conflict: Journal of Peace Psychology	1078-1919	1532-7949	1995-03	1	1	2006-12	12	4	http://content.apa.org/journals/pac		pac				Lawrence Erlbaum
Peace and Conflict: Journal of Peace Psychology	1078-1919	1532-7949	2007-03	13	1	2011-11	17	4	http://content.apa.org/journals/pac		pac				Taylor & Francis
Peace and Conflict: Journal of Peace Psychology	1078-1919	1532-7949	2012-02	18	1				http://content.apa.org/journals/pac		pac				Educational Publishing Foundation
Personality Disorders: Theory, Research, and Treatment	1949-2715	1949-2723	2009-08	S	1				http://content.apa.org/journals/per		per				Educational Publishing Foundation
Professional Psychology	0033-0175		1969-11	1	1	1982-12	13	6	http://content.apa.org/journals/pro		pro				American Psychological Association
Professional Psychology: Research and Practice	0735-7028	1939-1323	1983-02	14	1				http://content.apa.org/journals/pro		pro				American Psychological Association
Professional School Psychology	0886-3016		1986	1	1	1989	4	4	http://content.apa.org/journals/spq		spq				Lawrence Erlbaum
School Psychology Quarterly	1045-3830	1939-1560	1990	5	1	2006	21	4	http://content.apa.org/journals/spq		spq				Guilford Publications
School Psychology Quarterly	1045-3830	1939-1560	2007-03	22	1				http://content.apa.org/journals/spq		spq				Educational Publishing Foundation
Psychoanalytic Psychology	0736-9735	1939-1331	1984	1	1	1997	14	4	http://content.apa.org/journals/pap		pap				Lawrence Erlbaum Associates, Inc.
Psychoanalytic Psychology	0736-9735	1939-1331	1998	15	1				http://content.apa.org/journals/pap		pap				Educational Publishing Foundation
Psychobiology	0096-9745		1917-07	1	1	1920-08	2	6	http://content.apa.org/journals/psb		psb				Williams & Wilkins Company
Psychological Assessment: A Journal of Consulting and Clinical Psychology	1040-3590	1939-134X	1989-03	1	1	1991-12	3	4	http://content.apa.org/journals/pas		pas				American Psychological Association
Psychological Assessment	1040-3590	1939-134X	1992-03	4	1				http://content.apa.org/journals/pas		pas				American Psychological Association
Psychological Bulletin	0033-2909	1939-1455	1904-01	1	1	1905-12	2	12	http://content.apa.org/journals/bul		bul				The Macmillan Company
Psychological Bulletin	0033-2909	1939-1455	1906-01	3	1	1910-12	7	12	http://content.apa.org/journals/bul		bul				The Review Publishing Company
Psychological Bulletin	0033-2909	1939-1455	1911-01	8	1	1937-12	34	10	http://content.apa.org/journals/bul		bul				Psychological Review Company
Psychological Bulletin	0033-2909	1939-1455	1938-01	35	1				http://content.apa.org/journals/bul		bul				American Psychological Association
Psychological Methods	1082-989X	1939-1463	1996-03	1	1				http://content.apa.org/journals/met		met				American Psychological Association
Psychological Review	0033-295X	1939-1471	1894-01	1	1	1895-11	2	6	http://content.apa.org/journals/rev		rev				Macmillan & Company
Psychological Review	0033-295X	1939-1471	1896-01	3	1	1905-11	12	6	http://content.apa.org/journals/rev		rev				The Macmillan Company
Psychological Review	0033-295X	1939-1471	1906-01	13	1	1911-11	18	6	http://content.apa.org/journals/rev		rev				The Review Publishing Company
Psychological Review	0033-295X	1939-1471	1912-01	19	1	1937-11	44	6	http://content.apa.org/journals/rev		rev				Psychological Review Company
Psychological Review	0033-295X	1939-1471	1938-01	45	1				http://content.apa.org/journals/rev		rev				American Psychological Association
Psychological Services	1541-1559	1939-148X	2004	1	1				http://content.apa.org/journals/ser		ser				Educational Publishing Foundation
Psychological Trauma: Theory, Research, Practice, and Policy	1942-9681	1942-969X	2008-08	S	1				http://content.apa.org/journals/tra		tra				Educational Publishing Foundation
Psychology and Aging	0882-7974	1939-1498	1986-03	1	1				http://content.apa.org/journals/pag		pag				American Psychological Association
Psychology of Addictive Behaviors	0893-164X	1939-1501	1987	1	1	1991	5	2	http://content.apa.org/journals/adb		adb				Society of Psychologists in Addictive Behaviors
Psychology of Addictive Behaviors	0893-164X	1939-1501	1992-03	6	1	2004-12	18	4	http://content.apa.org/journals/adb		adb				Educational Publishing Foundation
Psychology of Addictive Behaviors	0893-164X	1939-1501	2005-03	19	1				http://content.apa.org/journals/adb		adb				American Psychological Association
Psychology of Aesthetics, Creativity, and the Arts	1931-3896	1931-390X	2006-08	S	1				http://content.apa.org/journals/aca		aca				American Psychological Association
Psychology of Consciousness: Theory, Research, and Practice	2326-5523	2326-5531	2013-08	1	S				http://content.apa.org/journals/cns		cns				Educational Publishing Foundation
Psychology of Men & Masculinity	1524-9220	1939-151X	2000-01	1	1				http://content.apa.org/journals/men		men				Educational Publishing Foundation
Psychology of Popular Media Culture	2160-4134	2160-4142	2011-08	1	S				http://content.apa.org/journals/ppm		ppm				Educational Publishing Foundation
Psychology of Religion and Spirituality	1941-1022	1943-1562	2008-08	S	1				http://content.apa.org/journals/rel		rel				Educational Publishing Foundation
Psychology of Sexual Orientation and Gender Diversity	2329-0382	2329-0390	2013-08	1	S				http://content.apa.org/journals/sgd		sgd				Educational Publishing Foundation
Psychology of Violence	2152-0828	2152-081X	2010-08	1	S				http://content.apa.org/journals/vio		vio				Educational Publishing Foundation
Psychology, Public Policy, and Law	1076-8971	1939-1528	1995-03	1	1				http://content.apa.org/journals/law		law				American Psychological Association
Psychomusicology: A Journal of Research in Music Cognition	0275-3987	2162-1535	1981	1	1	1985	5	1-2	http://content.apa.org/journals/pmu		pmu				Stephen F. Austin State University
Psychomusicology: A Journal of Research in Music Cognition	0275-3987	2162-1535	1986	6	1-2	1992	11	2	http://content.apa.org/journals/pmu		pmu				Illinois State University
Psychomusicology: A Journal of Research in Music Cognition	0275-3987	2162-1535	1993	12	1	1998	17	1-2	http://content.apa.org/journals/pmu		pmu				The Florida State University
Psychomusicology: A Journal of Research in Music Cognition	0275-3987	2162-1535	2002	18	1-2	2007	19	2	http://content.apa.org/journals/pmu		pmu				Music and Arts Publications
Psychomusicology: Music, Mind and Brain	0275-3987	2162-1535	2009	20	1-2	2011	21	1-2	http://content.apa.org/journals/pmu		pmu				Music and Arts Publications
Psychomusicology: Music, Mind, and Brain	0275-3987	2162-1535	2012-06	22	1				http://content.apa.org/journals/pmu		pmu				Educational Publishing Foundation
Psychosocial Rehabilitation Journal	0147-5622		1976	1	1	1995	18	4	http://content.apa.org/journals/prj		prj				International Association of Psychosocial Rehabilitation Services and Department of Rehabilitation Counseling, Sargent College of Allied Health Professions, Boston University
Psychiatric Rehabilitation Journal	1095-158X	1559-3126	1995	19	1	1997	20	3	http://content.apa.org/journals/prj		prj				International Association of Psychosocial Rehabilitation Services and Department of Rehabilitation Counseling, Sargent College of Allied Health Professions, Boston University
Psychiatric Rehabilitation Journal	1095-158X	1559-3126	1997	21	1	2012	35	4	http://content.apa.org/journals/prj		prj				International Association of Psychosocial Rehabilitation Services and Department of Rehabilitation Counseling, Sargent College of Health and Rehabilitation Services, Boston University
Psychiatric Rehabilitation Journal	1095-158X	1559-3126	2012-09	35	5				http://content.apa.org/journals/prj		prj				Educational Publishing Foundation
Psychotherapy: Theory, Research & Practice	0033-3204		1963	1	1	1983	20	4	http://content.apa.org/journals/pst		pst				Division of Psychotherapy (29), American Psychological Association
Psychotherapy: Theory, Research, Practice, Training	0033-3204	1939-1536	1984	21	1	2001	38	4	http://content.apa.org/journals/pst		pst				Division of Psychotherapy (29), American Psychological Association
