Title	TitleShort	ISSN	Documentation	Parent	Format
Health Information Science and Systems	Health Inf Sci Syst	2047-2501	http://www.hissjournal.com	biomed-central	numeric
Health Research Policy and Systems	Health Res Policy Sys	1478-4505	http://www.health-policy-systems.com	biomed-central	numeric
Health and Quality of Life Outcomes	Health Qual Life Outcomes	1477-7525	http://www.hqlo.com	biomed-central	numeric
Hereditary Cancer in Clinical Practice	Hered Cancer Clin Pract	1897-4287	http://www.hccpjournal.com	biomed-central	numeric
Heritage Science	Herit Sci	2050-7445	http://www.heritagesciencejournal.com	biomed-central	numeric
Herpesviridae	Herpesviridae	2042-4280	http://www.herpesviridae.org	biomed-central	numeric
Human Genomics	Hum Genomics	1479-7364	http://www.humgenomics.com	biomed-central	numeric
Human Resources for Health	Hum Resour Health	1478-4491	http://www.human-resources-health.com	biomed-central	numeric
Immunity & Ageing	Immun Ageing	1742-4933	http://www.immunityageing.com	biomed-central	numeric
Implementation Science	Implementation Sci	1748-5908	http://www.implementationscience.com	biomed-central	numeric
Infectious Agents and Cancer	Infect Agents Cancer	1750-9378	http://www.infectagentscancer.com	biomed-central	numeric
Infectious Diseases of Poverty	Infect Dis Poverty	2049-9957	http://www.idpjournal.com	biomed-central	numeric
International Archives of Medicine	Int Arch Med	1755-7682	http://www.intarchmed.com	biomed-central	numeric
International Breastfeeding Journal	Int Breastfeed J	1746-4358	http://www.internationalbreastfeedingjournal.com	biomed-central	numeric
International Journal for Equity in Health	Int J Equity Health	1475-9276	http://www.equityhealthj.com	biomed-central	numeric
International Journal of Behavioral Nutrition and Physical Activity	Int J Behav Nutr Phys Act	1479-5868	http://www.ijbnpa.org	biomed-central	numeric
International Journal of Emergency Medicine	Int J Emerg Med	1865-1380	http://www.intjem.com	biomed-central	numeric
International Journal of Health Geographics	Int J Health Geogr	1476-072X	http://www.ij-healthgeographics.com	biomed-central	numeric
International Journal of Mental Health Systems	Int J Ment Health Syst	1752-4458	http://www.ijmhs.com	biomed-central	numeric
International Journal of Pediatric Endocrinology	Int J Pediatr Endocrinol	1687-9856	http://www.ijpeonline.com	biomed-central	numeric
Investigative Genetics	Invest Genet	2041-2223	http://www.investigativegenetics.com	biomed-central	numeric
Irish Veterinary Journal	irvetj	2046-0481	http://www.irishvetjournal.org	biomed-central	numeric
Israel Journal of Health Policy Research	Isr J of Health Policy Res	2045-4015	http://www.ijhpr.org	biomed-central	numeric
Italian Journal of Pediatrics	Ital J Pediatr	1824-7288	http://www.ijponline.net	biomed-central	numeric
Journal for ImmunoTherapy of Cancer	J Immunother Cancer	2051-1426	http://www.immunotherapyofcancer.org	biomed-central	numeric
Journal of Animal Science and Biotechnology	J Anim Sci Biotechnol	2049-1891	http://www.jasbsci.com	biomed-central	numeric
Journal of Biological Engineering	J Biol Eng	1754-1611	http://www.jbioleng.org	biomed-central	numeric
Journal of Biomedical Science	J Biomed Sci	1423-0127	http://www.jbiomedsci.com	biomed-central	numeric
Journal of Biomedical Semantics	J Biomed Sem	2041-1480	http://www.jbiomedsem.com	biomed-central	numeric
Journal of Brachial Plexus and Peripheral Nerve Injury	J Brachial Plexus Peripher Nerve Inj	1749-7221	http://www.jbppni.com	biomed-central	numeric
Journal of Cardiothoracic Surgery	J Cardiothorac Surg	1749-8090	http://www.cardiothoracicsurgery.org	biomed-central	numeric
Journal of Cardiovascular Magnetic Resonance	J Cardiovasc Magn Reson	1532-429X	http://jcmr-online.com	biomed-central	numeric
Journal of Cheminformatics	J Cheminf	1758-2946	http://www.jcheminf.com	biomed-central	numeric
Journal of Clinical Bioinformatics	J Clin Bioinformatics	2043-9113	http://www.jclinbioinformatics.com	biomed-central	numeric
Journal of Diabetes & Metabolic Disorders	J Diabetes Metab Disord	2251-6581	http://www.jdmdonline.com	biomed-central	numeric
Journal of Eating Disorders	J Eat Disord	2050-2974	http://www.jeatdisord.com	biomed-central	numeric
Journal of Environmental Health Science and Engineering	J Environ Health Sci Eng	2052-336X	http://www.ijehse.com	biomed-central	numeric
Journal of Ethnobiology and Ethnomedicine	J Ethnobiology Ethnomedicine	1746-4269	http://www.ethnobiomed.com	biomed-central	numeric
Journal of Experimental & Clinical Cancer Research	J Exp Clin Cancer Res	1756-9966	http://www.jeccr.com	biomed-central	numeric
Journal of Foot and Ankle Research	J Foot Ankle Res	1757-1146	http://www.jfootankleres.com	biomed-central	numeric
Journal of Hematology & Oncology	J Hematol Oncol	1756-8722	http://www.jhoonline.org	biomed-central	numeric
Journal of Inflammation	J Inflamm	1476-9255	http://www.journal-inflammation.com	biomed-central	numeric
Journal of Intensive Care	J Intensive Care	2052-0492	http://www.jintensivecare.com	biomed-central	numeric
Journal of Medical Case Reports	J Med Case Rep	1752-1947	http://www.jmedicalcasereports.com	biomed-central	numeric
Journal of Molecular Psychiatry	J Mol Psychiatry	2049-9256	http://www.jmolecularpsychiatry.com	biomed-central	numeric
Journal of Molecular Signaling	J Mol Signal	1750-2187	http://www.jmolecularsignaling.com	biomed-central	numeric
Journal of Nanobiotechnology	J Nanobiotechnol	1477-3155	http://www.jnanobiotechnology.com	biomed-central	numeric
Journal of Negative Results in BioMedicine	J Negat Results BioMed	1477-5751	http://www.jnrbm.com	biomed-central	numeric
Journal of NeuroEngineering and Rehabilitation	J NeuroEngineering Rehabil	1743-0003	http://www.jneuroengrehab.com	biomed-central	numeric
Journal of Neurodevelopmental Disorders	J Neurodev Disord	1866-1955	http://www.jneurodevdisorders.com	biomed-central	numeric
Journal of Neuroinflammation	J Neuroinflammation	1742-2094	http://www.jneuroinflammation.com	biomed-central	numeric
Journal of Occupational Medicine and Toxicology	J Occup Med Toxicol	1745-6673	http://www.occup-med.com	biomed-central	numeric
Journal of Orthopaedic Surgery and Research	J Orthop Surg Res	1749-799X	http://www.josr-online.com	biomed-central	numeric
Journal of Otolaryngology - Head & Neck Surgery	J Otolaryngol - Head Neck Surg	1916-0216	http://www.journalotohns.com	biomed-central	numeric
Journal of Ovarian Research	J Ovarian Res	1757-2215	http://www.ovarianresearch.com	biomed-central	numeric
Journal of Pharmaceutical Policy and Practice	J Pharm Policy and Pract	2052-3211	http://www.joppp.org	biomed-central	numeric
Journal of Physiological Anthropology	J Physiol Anthropol	1880-6805	http://www.jphysiolanthropol.com	biomed-central	numeric
Journal of Systems Chemistry	J Syst Chem	1759-2208	http://www.jsystchem.com	biomed-central	numeric
Journal of Therapeutic Ultrasound	J Ther Ultrasound	2050-5736	http://www.jtultrasound.com	biomed-central	numeric
Journal of Translational Medicine	J Transl Med	1479-5876	http://www.translational-medicine.com	biomed-central	numeric
Journal of Trauma Management & Outcomes	J Trauma Manage Outcomes	1752-2897	http://www.traumamanagement.org	biomed-central	numeric
Journal of Venomous Animals and Toxins including Tropical Diseases	J Venom Anim Toxins incl Trop Dis	1678-9199	http://www.jvat.org	biomed-central	numeric
Journal of the International Society of Sports Nutrition	J Int Soc Sports Nutr	1550-2783	http://www.jissn.com	biomed-central	numeric
Lipids in Health and Disease	Lipids Health Dis	1476-511X	http://www.lipidworld.com	biomed-central	numeric
Longevity & Healthspan	Longevity Healthspan	2046-2395	http://www.longevityandhealthspan.com	biomed-central	numeric
Malaria Journal	Malar J	1475-2875	http://www.malariajournal.com	biomed-central	numeric
Medical Gas Research	Med Gas Res	2045-9912	http://www.medicalgasresearch.com	biomed-central	numeric
Microbial Cell Factories	Microb Cell Fact	1475-2859	http://www.microbialcellfactories.com	biomed-central	numeric
Microbial Informatics and Experimentation	Microb Inform Exp	2042-5783	http://www.microbialinformaticsj.com	biomed-central	numeric
Microbiome	Microbiome	2049-2618	http://www.microbiomejournal.com	biomed-central	numeric
Military Medical Research	Military Med Res	2054-9369	http://www.mmrjournal.org	biomed-central	numeric
Mobile DNA	Mobile DNA	1759-8753	http://www.mobilednajournal.com	biomed-central	numeric
Molecular Autism	Mol Autism	2040-2392	http://www.molecularautism.com	biomed-central	numeric
Molecular Brain	Mol Brain	1756-6606	http://www.molecularbrain.com	biomed-central	numeric
Molecular Cancer	Mol Cancer	1476-4598	http://www.molecular-cancer.com	biomed-central	numeric
Molecular Cytogenetics	Mol Cytogenet	1755-8166	http://www.molecularcytogenetics.org	biomed-central	numeric
Molecular Neurodegeneration	Mol Neurodegeneration	1750-1326	http://www.molecularneurodegeneration.com	biomed-central	numeric
Molecular Pain	Mol Pain	1744-8069	http://www.molecularpain.com	biomed-central	numeric
Molecular and Cellular Therapies	Mol and Cell Ther	2052-8426	http://www.molcelltherapies.com	biomed-central	numeric
Movement Ecology	Mov Ecol	2051-3933	http://www.movementecologyjournal.com	biomed-central	numeric
